"Player","Pos","Squad","id","Age","Season","RATING","Sh/90","np:G-xG","Dist","xG","npxG/Sh","Cmp%","PrgDist","A-xAG","PrgP","Crs","SCA90","PassLive","TO","GCA90","Tkl%","Blocks","Tkl+Int","Err","Def Pen","Att Pen","Succ%","44986","PrgR","Min%","Compl","onG","onGA","xG+/-90","CrdY","CrdR","Fls","Recov","Won%","def","mid","forw","Age^2"
"Emil Krafth","defender","Newcastle Utd","77cf6852","24","2019","74","0.35","-0.3","13.5","0.3","0.08","73","2168","0.4","19","20","0.26","3","0","0.09","45","12","26","0","53","9","66.7","18","20","29.8","7","13","23","-0.77","0","0","4","43","43.8","1","0","0","576"
"Emre Can","forward","Dortmund","a65ce836","25","2019","82","1.51","0.8","18.6","1.2","0.07","87.1","2950","-0.5","54","6","1.32","10","3","0.19","41.7","9","38","0","34","13","66.7","37","15","31.2","7","20","8","0.62","5","0","14","60","73.7","0","0","1","625"
"Enes Гњnal","forward","Valladolid","f8eca1b6","22","2019","75","2.19","-3.4","16.5","9.7","0.13","63.8","1410","-0.6","65","8","2.23","39","7","0.19","21.4","17","26","0","17","97","65","38","130","68.5","17","27","31","-0.45","4","0","41","65","45","0","0","1","484"
"Enis Bardhi","midfielder","Levante","cac2537b","24","2019","79","2.47","1.9","21.4","5.1","0.09","72.5","2988","-1.5","111","65","3.32","46","11","0.34","22.9","31","39","0","26","48","64.9","63","117","61.8","16","35","34","-0.25","5","0","46","118","15.6","0","1","0","576"
"Eric Bailly","defender","Manchester Utd","a1232f4e","25","2019","79","0","0","0","0","0","89.7","470","0","4","0","0","0","0","0","0","0","4","1","15","0","100","2","1","4.4","1","5","1","-0.14","0","0","2","9","100","1","0","0","625"
"Eric Dier","forward","Tottenham","ac861941","25","2019","78","0.54","-0.9","15.6","0.9","0.11","80","4583","1.6","37","3","0.87","11","0","0.07","50","7","42","0","110","12","100","51","4","39.3","13","26","23","-0.03","5","0","19","59","61.1","0","0","1","625"
"Erick Cabaco","defender","Levante","e7ab4179","24","2019","74","0.44","-0.3","14.6","0.3","0.09","75.3","3144","-0.1","24","2","0.56","3","0","0","66.7","0","24","1","103","4","80","20","0","23.7","8","9","10","-0.54","4","0","7","48","54.3","1","0","0","576"
"Erik Thommy","midfielder","DГјsseldorf","df8e7b62","24","2019","75","2.43","1.4","22.6","4.6","0.07","69.6","2815","-0.9","90","144","3.98","47","15","0.56","38.5","44","56","1","22","60","67.2","43","177","73.8","11","32","46","-0.67","3","0","17","139","29.2","0","1","0","576"
"Ermin BiДЌakДЌiД‡","defender","Hoffenheim","7aac47fe","29","2019","76","0.54","1.4","11.9","0.6","0.09","85.9","4768","-0.1","45","3","0.77","8","0","0.08","36.4","7","32","2","116","10","50","37","4","38.4","9","17","20","-0.26","0","0","7","55","74","1","0","0","841"
"Fabian SchГ¤r","forward","Newcastle Utd","c8aa95da","27","2019","78","1.08","0.6","21.4","1.4","0.07","73.4","5435","-0.1","53","12","1.38","19","1","0.17","47.5","7","86","2","123","19","66.7","59","6","48.9","15","14","37","-1.03","5","0","29","112","50","0","0","1","729"
"Fabinho","midfielder","Liverpool","7f3b388c","25","2019","87","0.52","1.6","28.7","0.4","0.04","86.7","5652","1.4","129","9","2.16","45","1","0.22","38.8","13","96","1","40","10","75","129","23","60.8","21","50","26","0.66","6","0","32","157","59.4","0","1","0","625"
"Fabio Quagliarella","forward","Sampdoria","ee4f2f3b","36","2019","80","3.76","-1.4","16.8","12.9","0.08","65.4","1372","-0.2","50","22","3.01","52","2","0.24","6.7","11","17","0","20","141","70.6","28","164","66.5","15","28","43","0.13","2","0","20","54","35.7","0","0","1","1296"
"Federico Bernardeschi","midfielder","Juventus","ee93c1a9","25","2019","80","2.86","-3.4","20","4.4","0.09","81.6","2083","-2.4","56","55","3.78","45","3","0.11","20","18","26","1","18","49","52.4","40","126","45.9","5","27","24","0.63","6","0","31","61","66.7","0","1","0","625"
"Federico Ceccherini","defender","Fiorentina","d9624b51","27","2019","70","0.43","-0.2","15.2","0.2","0.06","84.7","3077","0","17","0","0.54","4","1","0","100","1","27","1","61","8","85.7","20","2","24.4","6","6","15","-0.06","3","0","9","59","64.1","1","0","0","729"
"Federico Chiesa","forward","Fiorentina","b0f7e36c","21","2019","78","3.72","-1.6","18.3","12.2","0.1","72.8","2892","0.6","96","53","3.82","68","12","0.48","19.2","21","44","0","5","150","57.1","58","186","77.1","16","42","33","0.3","7","0","54","107","25","0","0","1","441"
"Federico Fazio","defender","Roma","4e358a2d","32","2019","77","0.3","0.5","8.6","0.5","0.12","87","4254","-0.1","36","2","0.59","7","0","0.22","54.5","4","38","0","89","13","66.7","31","2","35.5","10","29","20","0.53","2","1","11","70","60","1","0","0","1024"
"Federico FernГЎndez","defender","Newcastle Utd","f25b010f","30","2019","77","0.52","0.6","11.5","1.4","0.1","74.6","7703","0.8","43","29","0.65","10","3","0.1","50","21","66","2","254","24","62.5","40","13","76.6","28","33","42","-0.75","8","0","17","128","54.1","1","0","0","900"
"Federico Valverde","midfielder","Real Madrid","0959c2a2","21","2019","83","1.04","0","23","2","0.09","87","3788","1.7","112","16","2.31","43","2","0.38","33.3","16","59","2","27","24","70.4","104","69","55.8","10","42","12","0.96","1","0","25","113","58.1","0","1","0","441"
"Ferland Mendy","defender","Real Madrid","3cefcaef","24","2019","83","0.35","0.4","21.2","0.6","0.09","84.7","4180","0.6","64","66","2.24","35","4","0.3","77.8","27","54","1","54","38","71","46","131","52.9","18","35","11","0.85","8","1","25","97","57.8","1","0","0","576"
"Filip KostiД‡","midfielder","Eint Frankfurt","b1cd37e6","26","2019","83","2.68","-2.3","22.6","6.3","0.07","58.5","7079","0.5","103","385","4.99","74","17","0.61","37.3","75","82","0","23","104","59.7","81","248","96.7","32","58","57","0.3","4","0","36","225","57.1","0","1","0","676"
"Flavien Tait","midfielder","Rennes","a0f9b535","26","2019","76","1.42","0.8","19.2","1.2","0.09","72.9","1171","0.7","51","20","4.27","30","7","0.41","32.1","18","29","1","3","18","68.8","19","67","35.1","5","14","9","0.19","0","1","11","52","23.5","0","1","0","676"
"Florent Mollet","midfielder","Montpellier","7e82a78f","27","2019","78","2.46","3","23.5","3","0.07","76.9","3168","-2.1","84","127","4.01","41","1","0.53","25","19","22","0","6","33","58.3","65","122","66.8","10","28","25","-0.04","5","0","23","91","36.4","0","1","0","729"
"Florian Kainz","forward","KГ¶ln","94c18565","26","2019","75","2.31","0.6","22.2","4.2","0.09","59.4","3633","-0.8","91","170","4.03","42","3","0.29","45.5","25","34","0","11","33","56.4","52","112","51","6","30","34","0.18","5","0","16","90","28","0","0","1","676"
"Florian Lejeune","defender","Newcastle Utd","6eaed4eb","28","2019","77","0.81","0.8","14.4","1.2","0.3","68.5","1074","0","7","3","0.2","1","0","0","57.1","6","18","2","21","5","80","3","0","12.9","3","5","10","-1.08","0","0","6","35","53.3","1","0","0","784"
"Florian Niederlechner","forward","Augsburg","d6862409","28","2019","78","2.51","-0.4","14.1","13.9","0.16","70.5","1138","0.3","52","18","2.41","37","12","0.4","19","21","29","0","47","141","44.4","23","132","88.9","18","41","54","-0.3","1","0","46","89","40.7","0","0","1","784"
"Francesco Acerbi","defender","Lazio","b96b595c","31","2019","83","0.46","-0.4","14.5","2.4","0.15","89","14343","0.3","150","26","1.05","34","0","0.14","70","12","101","1","300","30","92.9","149","36","92.5","32","74","38","0.45","4","0","26","179","63.6","1","0","0","961"
"Francis Coquelin","midfielder","Valencia","a6951bf8","28","2019","80","0.43","-0.4","19.9","0.4","0.04","89.3","3753","-0.2","85","3","1.18","20","1","0.09","42.1","6","75","0","65","16","69","72","18","55.7","13","29","27","-0.16","8","1","34","149","66.7","0","1","0","784"
"Gabriel Jesus","forward","Manchester City","b66315ae","22","2019","83","4.43","-3.4","11.6","18.2","0.18","86","797","3.8","37","6","3.24","51","12","0.49","28","16","28","0","7","171","75","21","203","59.4","12","64","14","1.76","3","0","27","85","36.9","0","0","1","484"
"Gabriel Silva","defender","Saint-Г‰tienne","4914ed4a","28","2019","74","0","0","0","0","0","67.3","327","0","2","5","1.17","3","0","0","66.7","2","8","0","10","3","0","2","5","9.2","2","2","6","-0.82","0","0","3","14","66.7","1","0","0","784"
"Gareth Bale","forward","Real Madrid","a58bb1e1","30","2019","83","2.81","-2","17.3","4","0.12","72.6","1344","0.3","35","45","2.98","22","5","0.58","21.4","10","15","0","8","45","60","22","118","31.8","5","21","9","0.39","4","1","16","36","70","0","0","1","900"
"GaГ«l Kakuta","midfielder","Amiens","5b1bf5e3","28","2019","75","1.93","-0.8","22.4","2.8","0.07","66.5","2590","2.4","101","94","2.83","44","9","0.36","35.4","26","62","2","6","41","64.9","61","155","79.4","13","23","35","-0.32","4","0","31","96","29.1","0","1","0","784"
"GaГ«tan Laborde","forward","Montpellier","7cdda3bf","25","2019","76","2.57","-2.3","14.6","8.3","0.13","64.8","1336","1.2","77","34","2.86","50","6","0.24","23.7","28","28","1","31","117","41.3","32","216","88.8","13","32","26","0.09","1","0","42","108","52.3","0","0","1","625"
"Geoffrey Kondogbia","midfielder","Valencia","cce181df","26","2019","79","0.95","-0.1","25.1","1.1","0.06","83.7","4485","0.8","98","1","1","16","2","0.05","37.3","6","120","2","89","11","73.3","84","11","52.8","15","21","30","-0.39","5","0","35","158","48.2","0","1","0","676"
"Georginio Wijnaldum","midfielder","Liverpool","eb58eef0","28","2019","85","1.1","1.4","16.2","2.6","0.07","90.6","4301","-0.8","137","5","1.69","49","2","0.12","25","23","55","3","41","74","55.4","131","99","85.8","20","74","28","0.73","0","0","15","189","37","0","1","0","784"
"GermГЎn Pezzella","defender","Fiorentina","8c725b43","28","2019","78","1.08","-0.1","11.5","3.1","0.09","82.6","8083","0.2","55","2","0.7","16","0","0.1","43.8","9","91","1","200","56","100","43","5","82.7","30","46","41","0.05","12","0","37","154","63.1","1","0","0","784"
"Giacomo Bonaventura","midfielder","Milan","d995ed27","29","2019","80","2.96","-0.3","20.8","3.3","0.08","82.4","1676","2.5","75","28","5.26","53","8","0.88","29.4","13","23","0","17","48","73.3","35","87","39.1","4","29","14","0.73","2","0","20","62","40","0","1","0","841"
"Gian Marco Ferrari","defender","Sassuolo","8650af85","27","2019","72","0.57","-1.3","9","1.3","0.11","92.8","8785","0","89","2","1.14","21","0","0.09","50","6","35","1","187","22","75","64","5","55.5","20","39","33","-0.24","5","0","18","98","61","1","0","0","729"
"Gianluca Caprari","forward","Sampdoria","54e53b7e","26","2019","74","3.1","1.8","19.6","1.2","0.05","72.2","636","-0.5","29","25","3.91","20","2","0.27","30.8","8","16","0","3","24","50","16","57","19.5","1","8","17","-0.47","4","1","10","30","0","0","0","1","676"
"Gianluca Mancini","forward","Roma","5aa53281","23","2019","76","0.69","-1.6","11.5","2.6","0.13","88.1","10612","-0.8","114","2","0.95","23","0","0.16","50","11","109","1","201","37","78.6","88","14","80.1","27","59","39","0.58","16","1","67","165","71.2","0","0","1","529"
"Giorgio Chiellini","defender","Juventus","e85fb9b8","34","2019","87","0.45","0.8","8.6","0.2","0.19","87.4","527","0","3","0","1.34","2","1","0","100","1","4","0","18","2","100","4","0","5.9","1","4","1","0.69","0","0","4","8","57.1","1","0","0","1156"
"Giovani Lo Celso","midfielder","Tottenham","d7553721","23","2019","82","1.09","-1.3","22","1.3","0.07","81.1","3649","0.4","112","57","4.22","52","3","0.36","20.3","16","60","0","23","27","62.7","81","50","43.6","7","24","18","-0.16","6","0","28","123","26.7","0","1","0","529"
"Giovanni Simeone","forward","Cagliari","343c0d52","24","2019","76","2.68","0.2","15.1","11.8","0.14","66.9","624","0.7","19","16","1.23","22","7","0.12","15.6","22","35","1","21","126","49.2","5","189","85.5","18","44","41","-0.26","4","0","55","55","25.3","0","0","1","576"
"Giuseppe Pezzella","defender","Parma","149c5f5d","21","2019","72","0.19","-0.1","24.5","0.1","0.04","73.8","1867","-0.2","29","33","1.79","15","0","0.09","57.9","13","26","0","39","7","52.2","28","41","27.7","6","14","20","-0.62","2","0","17","44","45","1","0","0","441"
"Gonzalo Escalante","midfielder","Eibar","3f79a1c8","26","2019","77","1.13","-1.7","15.4","1.7","0.08","67.1","2157","-0.1","68","16","1.51","18","3","0.22","58.5","17","70","0","29","33","72.7","52","36","48.9","14","20","31","-0.41","9","1","31","105","48.7","0","1","0","676"
"Granit Xhaka","midfielder","Arsenal","e61b8aee","26","2019","80","0.38","0.5","23","0.5","0.05","87.2","8782","1","237","16","1.53","38","1","0.1","45.5","19","66","3","125","19","78.1","197","33","75.6","25","47","31","-0.1","10","0","56","195","45.5","0","1","0","676"
"Guillermo MaripГЎn","defender","Monaco","d9764034","25","2019","75","0.62","0.1","13.8","1.9","0.16","87.8","7288","-0.1","76","4","0.56","9","0","0.05","58.5","6","67","2","127","17","50","60","6","69.6","18","32","31","0.21","2","0","14","114","56.5","1","0","0","625"
"Hakan Г‡alhanoДџlu","midfielder","Milan","cd0fa27b","25","2019","79","3.33","1","22.6","7.8","0.07","77.8","5445","1.1","166","151","4.73","106","5","0.5","34.3","26","68","1","39","87","62.2","125","193","79.1","19","50","41","0.44","6","0","38","156","38","0","1","0","625"
"Hamari TraorГ©","defender","Rennes","a4b1028a","27","2019","79","0.82","-1.4","21.3","1.4","0.06","79.4","8111","2.3","116","60","2.5","56","6","0.3","50","23","103","1","66","38","61","84","122","95.7","25","37","22","0.27","7","0","42","169","55.2","1","0","0","729"
"Hamza Choudhury","midfielder","Leicester City","7d2d3329","21","2019","74","0.71","0.6","16.2","0.4","0.05","85.4","1474","0.9","32","4","1.11","10","0","0.1","12","10","41","0","25","11","30","29","10","26.1","4","16","12","0.15","4","1","12","51","54.5","0","1","0","441"
"Hans Hateboer","defender","Atalanta","3b333ac3","25","2019","78","0.73","-2.3","13.1","2.3","0.12","83.1","4652","-0.5","70","76","3.63","82","3","0.42","47.4","43","46","1","46","69","42.3","45","216","68.9","22","71","34","1.27","10","0","44","89","52.6","1","0","0","625"
"Harry Kane","forward","Tottenham","21a66f6a","26","2019","88","2.75","5.1","19.2","12.5","0.14","65.4","1736","-1.3","76","19","2.12","42","6","0.28","23.5","17","24","0","38","117","50.9","52","174","75.6","26","49","36","-0.03","4","0","37","69","39.1","0","0","1","676"
"Harry Maguire","defender","Manchester Utd","d8931174","26","2019","82","0.82","-1.1","12.7","2.1","0.07","86.5","13715","-0.4","171","2","1.03","35","0","0","52.9","6","109","0","360","61","63.6","163","10","100","38","66","36","0.64","6","0","33","237","71.5","1","0","0","676"
"Harry Winks","midfielder","Tottenham","2f7acede","23","2019","79","0.57","-0.5","25.4","0.5","0.04","89.1","7843","-1","190","28","1.95","42","0","0.24","31.5","12","76","1","54","4","71.4","148","18","64.9","16","37","31","-0.27","9","0","24","162","63.6","0","1","0","529"
"Harvey Barnes","midfielder","Leicester City","3ea50f67","21","2019","79","2.64","-2.1","16.7","8.1","0.13","75.4","1731","3.9","90","41","3.76","66","11","0.69","21.7","17","24","1","9","121","53.1","30","221","60.9","4","38","24","0.44","0","0","20","91","42.4","0","1","0","441"
"Henrikh Mkhitaryan","midfielder","Roma","dd0daf32","30","2019","80","2.53","3.3","17.4","5.7","0.13","82.7","2375","2","93","15","4.29","60","4","0.53","42.2","17","43","0","12","67","47.7","52","96","44.7","6","32","24","0.58","5","0","17","77","43.5","0","1","0","900"
"Houssem Aouar","midfielder","Lyon","a5db0bec","21","2019","81","2.12","-0.7","20","3.7","0.08","84.1","3261","1.7","134","24","3.91","53","11","0.51","28.6","16","41","0","10","72","59.8","101","127","77.6","14","30","23","0.29","3","0","24","120","58.6","0","1","0","441"
"Iago Aspas","forward","Celta Vigo","7dcf86f6","31","2019","84","2.12","0","17.5","14.6","0.12","75.6","2802","-1.4","125","26","3.01","78","10","0.33","26.7","49","51","0","10","136","54.7","71","256","95.4","30","35","48","-0.19","9","0","25","108","33.3","0","0","1","961"
"Ibrahima KonatГ©","defender","RB Leipzig","5ed9b537","20","2019","78","0.16","-0.1","6.4","0.1","0.1","88.4","1747","-0.1","18","3","0.47","3","0","0","28.6","0","16","1","45","3","75","12","3","18.6","6","15","5","1.1","2","0","4","34","81.8","1","0","0","400"
"Ignatius Ganago","forward","Nice","23c63b7f","20","2019","71","1.23","1.1","18","1.9","0.11","75.9","771","0.1","33","18","2.69","23","5","0.36","16.7","8","14","0","14","40","56.4","13","150","49.2","4","19","19","-0.38","0","0","15","42","38.2","0","0","1","400"
"Ihlas Bebou","forward","Hoffenheim","a53b661f","25","2019","74","1.5","1.5","16.1","4.5","0.13","67","1386","-2.7","48","37","2.87","44","8","0.34","34.8","26","38","0","37","87","52.1","30","182","68.7","15","38","37","-0.19","1","0","25","99","48.7","0","0","1","625"
"Isaac Hayden","midfielder","Newcastle Utd","c951a6df","24","2019","77","0.73","-0.2","20.9","1.2","0.07","75.6","2242","-0.3","52","38","1.34","25","2","0.12","40","25","93","0","50","29","62.8","37","30","65","20","26","32","-0.71","4","1","25","114","59.8","0","1","0","576"
"Isco","forward","Real Madrid","a0b4bb3e","27","2019","84","1.75","-1.1","18.8","2.1","0.09","84.5","2626","0.1","96","39","3.81","39","2","0.53","35.7","20","20","1","6","37","73.3","67","75","34.5","1","15","8","0.38","2","0","15","64","26.1","0","0","1","729"
"IsmaГ«l TraorГ©","defender","Angers","b666421b","32","2019","75","0.39","-0.8","12.5","0.8","0.09","83.6","7023","-0.3","54","2","0.79","16","1","0","58.8","6","50","1","121","19","80","40","2","81.4","22","21","22","0.03","4","0","8","132","58","1","0","0","1024"
"Issa Diop","defender","West Ham","a712ca2b","22","2019","77","0.49","1.5","9.2","1.5","0.1","77.8","6015","-0.2","44","1","0.33","7","0","0.03","64","11","74","2","229","25","71.4","44","2","80.9","30","39","54","-0.39","8","0","31","145","66.9","1","0","0","484"
"Ivan PeriЕЎiД‡","forward","Bayern Munich","6fe90922","30","2019","82","2.99","-0.1","14.6","4.1","0.1","70.2","1593","0","49","76","2.83","28","3","0.45","24.2","24","20","0","14","106","60","24","191","39.4","4","45","12","1.67","1","0","18","51","71.4","0","0","1","900"
"Ivan RadovanoviД‡","midfielder","Genoa","023937a9","30","2019","74","1.16","-0.9","24.3","0.9","0.06","85.4","4048","0.2","93","12","1.78","22","0","0.14","38.5","3","35","0","60","6","66.7","74","12","38.5","12","14","30","-0.4","3","0","15","78","54.8","0","1","0","900"
"Ivan RakitiД‡","midfielder","Barcelona","89f951b5","31","2019","82","1.36","-1.1","20.3","2.1","0.09","88.4","4832","1.6","114","32","2.27","31","0","0.23","35.7","13","42","1","44","31","58.8","111","51","46.5","6","31","15","0.66","5","0","20","106","45.9","0","1","0","961"
"Jack Cork","midfielder","Burnley","74e12f1e","30","2019","77","0.62","-2","15.1","2","0.11","77","2633","-1.1","67","6","1.07","23","2","0.1","19.4","14","63","0","60","27","78.8","55","31","76.4","24","31","41","-0.07","1","0","33","171","43.9","0","1","0","900"
"Jack Stephens","defender","Southampton","6adbc307","25","2019","75","0.22","0","9.2","1","0.17","71.8","7922","1.6","81","5","0.62","15","1","0.11","52.2","16","75","2","196","20","63.6","80","11","71.7","25","38","38","0.01","4","1","14","140","42.6","1","0","0","625"
"Jadon Sancho","forward","Dortmund","dbf053da","19","2019","87","2.05","6.9","16","10.1","0.19","82.1","4179","5.2","168","78","5.04","96","10","1.26","33.3","34","28","0","8","122","55.8","79","298","74.7","15","72","31","0.91","2","0","9","98","7.7","0","0","1","361"
"Jakub Jankto","midfielder","Sampdoria","1ea5f91c","23","2019","74","1.8","-0.5","19.4","2.5","0.06","69.4","2482","0.3","65","86","3.22","64","0","0.3","23.8","20","49","0","31","60","36.8","47","140","61.3","11","35","40","-0.05","8","0","23","111","29","0","1","0","529"
"Jamaal Lascelles","defender","Newcastle Utd","450ab6fc","25","2019","77","0.39","0.5","12.9","0.5","0.06","79.4","3863","-0.2","21","0","0.43","7","0","0","44.4","7","42","1","188","18","66.7","24","1","60.7","21","24","31","-0.71","5","0","22","128","59.8","1","0","0","625"
"James McArthur","midfielder","Crystal Palace","cee31595","31","2019","75","0.82","-2","18.5","2","0.07","77.1","5976","0.6","174","44","2.04","58","5","0.23","34.9","49","148","0","102","86","65.9","124","123","90.4","22","30","38","-0.53","6","0","57","185","37.4","0","1","0","961"
"James Milner","forward","Liverpool","2f90f6b8","33","2019","80","0.96","-0.6","24.5","2.2","0.06","84.8","3146","1.3","71","20","2.69","24","0","0.38","23.1","15","23","1","26","11","90.9","65","42","27.4","7","26","9","1.15","4","0","11","63","50","0","0","1","1089"
"James Tarkowski","defender","Burnley","15ea812b","26","2019","80","0.55","-0.1","9.1","2.1","0.1","70.3","8051","-1.1","83","4","0.87","27","0","0.21","57.4","9","129","4","306","72","100","69","2","100","38","43","50","-0.06","10","0","49","180","74","1","0","0","676"
"James Tomkins","defender","Crystal Palace","e7ca0439","30","2019","76","0.51","-0.1","8.9","1.1","0.12","79.1","3879","0.9","14","1","0.34","6","0","0.06","72","2","50","0","130","21","50","23","4","46.3","16","15","23","-0.77","5","0","14","82","65.2","1","0","0","900"
"James Ward-Prowse","forward","Southampton","3515d404","24","2019","79","1.42","-0.8","23.9","7.3","0.09","72.6","7797","-3.8","170","267","3.05","53","1","0.16","41.5","23","152","1","118","42","66.7","144","82","100","38","51","60","0.09","9","0","57","249","51.9","0","0","1","576"
"Jamie Vardy","forward","Leicester City","45963054","32","2019","86","2.49","3.7","13.1","19.2","0.19","67.6","742","-0.9","44","31","2.08","47","12","0.36","50","12","17","0","28","168","48.9","12","200","88.7","32","58","38","0.36","2","0","20","44","36","0","0","1","1024"
"Jan Bednarek","defender","Southampton","4115ce4e","23","2019","77","0.21","-0.1","7.8","1.1","0.16","74.2","8491","-0.1","90","1","0.56","15","0","0.03","50.8","14","142","4","269","15","100","57","0","89.4","33","43","57","0.04","4","0","33","161","73.1","1","0","0","529"
"Janik Haberer","midfielder","Freiburg","70dcf94d","25","2019","75","0.68","1.4","19.9","0.6","0.05","81.6","2581","0.5","76","12","2.67","39","1","0.16","26.7","20","51","0","26","29","57.7","61","62","56.2","12","20","30","-0.64","5","1","34","129","39.3","0","1","0","625"
"Jannik Vestergaard","defender","Southampton","1900032e","26","2019","77","0.72","-0.4","11.7","1.4","0.11","75.5","4460","-0.5","55","1","0.54","7","0","0","39.3","3","45","2","109","18","60","54","1","43.8","15","22","26","0.24","3","0","9","80","73.6","1","0","0","676"
"Jason","midfielder","Getafe","9038c2a1","25","2019","76","2.07","-0.5","23.8","1.5","0.05","54","1392","2","28","88","2.99","18","2","0.46","45.5","25","47","0","16","19","46.2","20","74","34.4","1","17","15","0.08","5","0","24","80","40","0","1","0","625"
"Jean-Eudes Aholou","midfielder","Saint-Г‰tienne","48b28bfd","25","2019","74","1.43","0.3","17.7","0.7","0.07","83.9","848","0.5","34","3","1.86","7","0","0.14","33.3","2","31","0","14","13","75","17","15","25","2","8","10","0.23","3","1","11","57","47.6","0","1","0","625"
"Jean-KГ©vin Augustin","forward","Monaco","97bfa797","22","2019","73","2.37","-0.5","13.8","0.5","0.07","82.5","32","0","0","0","2.03","2","0","0.68","16.7","0","6","0","0","15","44.4","0","17","10.6","0","5","5","0.89","0","0","2","11","0","0","0","1","484"
"Jean-Philippe Gbamin","midfielder","Everton","6bd603db","23","2019","78","0","0","0","0","0","71.4","153","0","7","0","0","0","0","0","50","4","5","0","7","0","66.7","8","3","4","1","1","0","-0.63","0","0","2","8","60","0","1","0","529"
"Jean-Victor Makengo","midfielder","Toulouse","22bfb57e","21","2019","70","1.28","1.2","24.9","0.8","0.06","82.4","1436","-0.7","63","8","1.91","19","1","0","30.8","6","17","1","10","13","44.8","43","43","39.2","5","10","23","-0.56","1","0","21","47","15.8","0","1","0","441"
"Jeff Hendrick","midfielder","Burnley","989d5705","27","2019","75","1.03","0.3","18.9","1.7","0.08","72.1","1588","0.4","40","30","1.77","27","2","0.14","25.9","24","38","0","34","36","46.8","28","61","56.5","16","25","30","-0.01","8","0","17","107","59.5","0","1","0","729"
"Jeffrey Gouweleeuw","defender","Augsburg","1025db8e","28","2019","76","0","0","0","0","0","75.3","5115","0.8","40","2","0.66","9","1","0.11","57.1","9","65","0","171","4","77.8","36","3","53.8","18","27","34","-0.44","5","0","12","118","54.5","1","0","0","784"
"Jeffrey Schlupp","forward","Crystal Palace","3312f911","26","2019","74","1.56","1.3","18.7","1.7","0.1","73","1131","0.2","42","9","1.74","13","1","0.17","37.5","9","31","0","14","30","54.2","37","53","30.3","5","11","16","-0.53","2","0","17","42","45.5","0","0","1","676"
"Jeison Murillo","defender","Celta Vigo","b233e8e4","27","2019","77","0.53","0.5","15.1","0.5","0.06","86","4407","-0.1","33","2","0.29","4","0","0","66.7","5","57","2","126","13","100","20","3","44.7","16","17","16","-0.22","5","0","20","84","61.3","1","0","0","729"
"Jens Stryger Larsen","defender","Udinese","f91e81c9","28","2019","75","0.39","-0.3","14.7","1.3","0.1","74.6","8380","1","128","119","1.77","50","2","0.13","56.7","39","47","0","80","30","72.7","88","145","81.5","24","27","32","-0.15","5","0","9","134","34.3","1","0","0","784"
"Jesse Lingard","midfielder","Manchester Utd","810e3c74","26","2019","77","2.12","-0.9","18.7","1.9","0.09","85.8","903","-1","45","7","3.95","35","2","0.48","27.8","5","18","0","5","32","56.5","38","73","27.3","0","16","14","0.7","3","0","28","37","14.3","0","1","0","676"
"JesГєs Navas","defender","Sevilla","3f10bd22","33","2019","84","0.29","-0.3","22.9","0.3","0.03","76.7","10181","-0.7","244","232","2.97","100","3","0.43","46.9","65","58","0","88","60","61.7","134","349","98.5","35","53","32","0.48","4","0","18","210","28.8","1","0","0","1089"
"Joachim Andersen","defender","Lyon","e34fc66d","23","2019","76","0.59","0.1","16.1","0.9","0.09","89.6","7496","-0.2","79","1","0.94","16","0","0","36.8","3","27","2","166","13","100","57","1","60.8","17","29","17","0.24","3","0","17","84","69.4","1","0","0","529"
"JoaquГ­n","midfielder","Betis","4c5b14d2","38","2019","74","1.35","2.3","21.3","6","0.12","79.1","3782","-2.6","140","97","5.07","92","7","0.44","36.4","26","29","1","24","68","68.3","50","178","60.2","5","32","33","0.2","4","0","11","84","40","0","1","0","1444"
"JoaquГ­n Correa","forward","Lazio","45b9b619","24","2019","81","3.46","-0.7","15.8","10.4","0.13","80.7","1565","-1","86","9","4.99","68","19","0.58","20.8","20","20","0","14","143","68.4","36","222","58.5","11","47","26","0.46","0","0","18","63","29.8","0","0","1","576"
"Joe Gomez","defender","Liverpool","7a11550b","22","2019","83","0.04","0","30.4","0","0.03","87.6","10715","-0.2","115","9","0.99","20","0","0.18","45","10","61","2","137","1","72.7","107","11","58.6","21","53","16","0.96","7","0","21","151","58.1","1","0","0","484"
"Joel Ward","defender","Crystal Palace","8a7ff278","29","2019","76","0.19","-0.3","15.1","0.3","0.05","71.8","6373","-0.3","115","36","0.38","9","0","0","69.6","45","117","1","117","10","53.3","73","54","69.6","24","20","36","-0.41","4","0","24","116","64.6","1","0","0","841"
"John Brooks","defender","Wolfsburg","e27da244","26","2019","76","0.53","-1.2","11.1","1.2","0.09","81.6","8047","-0.7","81","1","0.57","11","0","0.04","49","5","79","0","147","29","75","58","6","72.7","23","37","34","0.33","4","0","25","157","67.9","1","0","0","676"
"John Guidetti","forward","AlavГ©s","99bebd12","27","2019","74","1.87","-0.1","21.1","0.1","0.07","62.5","80","-0.1","5","0","1.87","2","0","0","0","0","2","0","0","3","75","3","9","2.8","0","0","2","-2.31","0","0","0","2","50","0","0","1","729"
"John Stones","defender","Manchester City","5eecec3d","25","2019","80","0.48","-0.4","9.6","0.4","0.07","94","6085","-0.1","83","0","1.04","13","0","0.08","60","7","25","2","98","12","100","75","1","32.8","11","33","16","1.32","0","0","5","69","64.7","1","0","0","625"
