Player,Pos,Squad,id,Age,Season,RATING,Sh/90,np:G-xG,Dist,npxG/Sh,Cmp%,A-xAG,Crs,TO,Tkl%,Tkl+Int,Err,Def Pen,Succ%,44986,onGA,xG+/-90,CrdY,CrdR,Won%,def,mid,forw,Age^2
Boubacar Kamara,forward,Marseille,cc77354e,19,2019,79,0.63,0.2,25.1,0.05,85.7,1.7,0,0,47.4,101,1,98,58.3,79,24,0.3,7,1,55.2,0,0,1,361
Bouna Sarr,midfielder,Marseille,1a4b9094,27,2019,77,1.16,-1.4,19.5,0.09,80.5,1.2,100,3,56.6,92,0,42,57.0,53,24,0.12,3,0,52.6,0,1,0,729
Brais MГ©ndez,midfielder,Celta Vigo,c9e39d91,22,2019,75,1.52,-2.1,22.7,0.08,73.2,1.0,43,4,30.8,38,1,27,53.7,57,25,-0.29,4,0,41.0,0,1,0,484
Bram Nuytinck,defender,Udinese,e33f36d5,29,2019,72,0.24,-0.5,10.7,0.09,84.3,-1.0,6,0,63.0,73,1,198,60.0,95,31,-0.06,2,0,47.3,1,0,0,841
Breel Embolo,forward,M'Gladbach,0b4f388a,22,2019,78,2.61,-1.6,12.4,0.22,75.0,0.7,3,6,26.7,30,0,6,53.9,28,19,0.76,4,0,33.9,0,0,1,484
Bryan Cristante,midfielder,Roma,16657b95,24,2019,78,1.62,-0.6,21.3,0.06,84.5,1.6,7,1,29.6,47,0,42,78.6,142,31,0.78,7,1,43.2,0,1,0,576
Callum Hudson-Odoi,forward,Chelsea,15f3ec41,18,2019,74,2.19,-0.9,18.3,0.09,78.2,3.0,63,1,14.3,15,1,3,56.3,15,14,0.8,1,0,15.4,0,0,1,324
Callum Wilson,forward,Bournemouth,c596fcb0,27,2019,78,1.7,-1.9,12.4,0.18,61.6,-1.8,27,4,11.8,16,0,23,53.3,28,53,-0.53,10,0,31.1,0,0,1,729
Calum Chambers,defender,Arsenal,dc6f5bdd,24,2019,75,0.98,0.2,12.0,0.07,80.0,-0.6,34,0,68.8,42,1,116,64.7,46,15,0.27,5,0,54.5,1,0,0,576
Casemiro,midfielder,Real Madrid,4d224fe8,27,2019,89,1.31,-0.2,22.6,0.1,83.2,1.5,24,3,39.4,164,0,131,87.9,204,22,0.95,12,0,61.7,0,1,0,729
Cengiz Гњnder,forward,Roma,1880614f,22,2019,78,2.78,1.0,20.1,0.07,70.8,-2.6,44,13,22.2,18,0,10,76.2,22,18,0.9,2,0,62.5,0,0,1,484
Cenk Tosun,forward,Everton,9a104dee,28,2019,75,3.4,0.0,14.2,0.09,65.0,-0.2,2,1,0.0,2,0,1,100.0,3,4,0.1,0,0,23.1,0,0,1,784
Cesc FГ bregas,midfielder,Monaco,33508c78,32,2019,75,0.97,-0.5,21.5,0.05,82.0,0.9,30,1,20.7,18,0,14,80.0,83,21,0.17,1,1,75.0,0,1,0,1024
Charles ArГЎnguiz,midfielder,Leverkusen,56413b1f,30,2019,83,0.68,-0.4,18.6,0.09,85.1,0.5,13,0,36.5,78,1,42,58.3,126,26,0.2,2,0,38.9,0,1,0,900
Charlie Taylor,defender,Burnley,cc2d7ad5,25,2019,77,0.05,0.0,22.2,0.03,69.5,0.1,88,0,48.7,68,1,100,47.5,43,18,-0.21,3,0,62.5,1,0,0,625
Cheikhou KouyatГ©,forward,Crystal Palace,8d3c902d,29,2019,77,0.85,-1.7,12.0,0.11,72.6,0.1,17,1,54.2,110,1,85,54.8,41,36,-0.5,4,0,56.3,0,0,1,841
Chris Smalling,defender,Roma,b6964eb6,29,2019,79,0.67,1.3,9.8,0.09,90.3,1.3,3,0,76.9,81,2,215,77.8,56,38,0.55,3,0,72.9,1,0,0,841
Chris Wood,forward,Burnley,4e9a0555,27,2019,78,2.36,-1.9,10.7,0.23,61.2,-0.8,8,3,33.3,11,0,24,42.9,9,33,-0.02,1,0,39.0,0,0,1,729
Christian Benteke,forward,Crystal Palace,ab070c55,28,2019,72,2.93,-3.1,13.2,0.12,53.8,-1.6,5,3,0.0,13,1,38,82.6,15,18,-0.64,4,1,56.5,0,0,1,784
Christian Eriksen,midfielder,Tottenham,980522ec,27,2019,85,2.13,0.1,25.1,0.07,74.0,0.1,72,0,29.2,31,0,15,0.0,51,18,-0.34,5,0,37.5,0,1,0,729
Christian GГјnter,defender,Freiburg,8593f88c,26,2019,78,0.95,0.7,22.6,0.04,69.1,-0.8,274,3,34.3,39,0,66,33.3,58,47,-0.54,2,0,23.8,1,0,0,676
Christian Pulisic,forward,Chelsea,1bf33a9a,20,2019,81,3.29,0.0,13.4,0.14,76.3,0.4,35,19,29.2,29,0,6,50.9,25,28,0.79,0,0,30.8,0,0,1,400
Christoph Kramer,midfielder,M'Gladbach,496aeede,28,2019,78,0.61,-0.4,23.7,0.04,84.5,-0.4,7,0,38.8,59,0,36,70.0,64,15,1.0,4,0,67.6,0,1,0,784
Christophe HГ©relle,defender,Nice,3681cfff,26,2019,75,0.49,1.8,16.6,0.21,88.7,-0.4,10,0,42.9,31,1,85,37.5,58,15,-0.05,3,1,44.1,1,0,0,676
Christopher Nkunku,midfielder,RB Leipzig,7c56da38,21,2019,80,2.43,-2.8,18.6,0.15,78.6,3.8,121,9,27.3,41,0,12,61.1,49,20,1.42,2,0,37.9,0,1,0,441
Ciaran Clark,defender,Newcastle Utd,2b91cf8e,29,2019,76,0.46,0.7,8.3,0.21,77.2,0.0,0,0,60.0,31,0,103,85.7,14,14,-1.04,3,0,43.9,1,0,0,841
Ciro Immobile,forward,Lazio,4431aed2,29,2019,87,3.61,6.7,17.3,0.12,75.3,2.7,13,12,0.0,19,0,11,41.8,38,38,0.47,8,0,27.5,0,0,1,841
ClГ©ment Lenglet,defender,Barcelona,4f28a6ff,24,2019,85,0.37,1.2,15.1,0.08,92.2,0.5,0,0,50.0,79,1,236,50.0,146,28,0.83,11,2,60.8,1,0,0,576
Corentin Jean,defender,Toulouse,7d9b37bf,24,2019,71,0.0,0.0,0.0,0.0,42.9,0.0,2,0,0.0,0,0,0,100.0,0,0,-8.78,0,0,0.0,1,0,0,576
Corentin Tolisso,midfielder,Bayern Munich,652d4c37,24,2019,80,2.12,-0.3,15.9,0.09,88.8,0.4,7,0,11.1,13,1,11,63.6,71,7,1.28,0,0,61.5,0,1,0,576
Cristiano Biraghi,defender,Inter,9e1577aa,26,2019,75,0.51,1.4,19.6,0.06,70.2,2.1,138,3,41.7,35,0,57,45.5,26,14,0.66,3,0,22.2,1,0,0,676
Damien Da Silva,defender,Rennes,1ec7e1c5,31,2019,77,0.2,0.6,14.0,0.08,84.7,0.8,4,0,52.6,53,1,163,75.0,54,21,0.3,3,0,66.4,1,0,0,961
DamiГЎn SuГЎrez,defender,Getafe,ba5004e1,31,2019,80,0.73,0.1,26.3,0.04,63.7,1.0,151,4,52.8,89,0,46,61.5,134,26,0.12,15,0,41.2,1,0,0,961
Daniel Caligiuri,midfielder,Schalke 04,d1273f09,31,2019,77,1.69,-1.6,23.1,0.06,62.5,-1.2,123,4,36.5,83,0,48,54.5,60,42,-0.48,5,0,56.3,0,1,0,961
Daniel Ginczek,forward,Wolfsburg,e5f63987,28,2019,76,2.81,-0.2,14.9,0.13,65.5,-0.6,4,3,9.1,5,0,4,50.0,15,18,0.31,2,0,44.4,0,0,1,784
Daniel Wass,forward,Valencia,d83bbc54,30,2019,80,0.53,-0.2,17.4,0.07,78.4,3.1,84,1,43.9,75,1,117,50.0,70,41,-0.3,7,0,59.5,0,0,1,900
Daniele Baselli,midfielder,Torino,ea06dd97,27,2019,77,0.49,-0.7,23.0,0.09,79.7,1.1,51,0,32.5,68,0,48,62.5,40,23,-0.69,3,0,42.9,0,1,0,729
Daniele Rugani,defender,Juventus,14b8fcdf,25,2019,80,0.78,-0.3,16.8,0.05,86.9,0.0,0,0,80.0,19,0,36,0.0,16,15,0.76,2,0,64.0,1,0,0,625
Danilo,defender,Juventus,94b2001f,28,2019,75,0.87,1.1,24.3,0.07,85.9,-0.7,29,1,60.0,56,0,52,78.9,88,27,0.15,4,1,56.3,1,0,0,784
Danilo Cataldi,midfielder,Lazio,ba3d3bea,24,2019,73,1.37,0.5,33.3,0.05,82.8,-0.7,35,1,50.0,30,0,26,100.0,52,7,-0.15,3,0,57.1,0,1,0,576
Danilo D'Ambrosio,defender,Inter,44eb9093,30,2019,77,0.45,2.3,7.5,0.25,83.6,-0.9,17,1,48.5,44,0,55,69.2,50,9,0.95,6,0,56.8,1,0,0,900
Danny Ings,forward,Southampton,07802f7f,27,2019,80,2.92,6.3,13.9,0.16,60.3,-0.7,29,14,19.4,51,1,33,49.5,38,44,0.2,3,0,28.3,0,0,1,729
Danny Welbeck,forward,Watford,ce5143da,28,2019,74,2.41,-1.9,11.0,0.18,74.4,-0.2,1,2,27.3,19,0,6,45.0,8,15,0.21,0,0,52.8,0,0,1,784
Danny da Costa,midfielder,Eint Frankfurt,5ddb8f9f,26,2019,78,1.1,-0.6,16.2,0.09,65.6,-0.2,83,4,37.5,41,0,28,57.5,20,27,0.72,0,0,44.6,0,1,0,676
Dante,defender,Nice,fd2bc67d,35,2019,76,0.86,-0.7,10.4,0.09,91.0,-0.3,1,0,68.0,60,0,249,88.9,70,26,-0.19,7,0,64.6,1,0,0,1225
Darko LazoviД‡,defender,Hellas Verona,5128bde4,28,2019,76,1.0,0.7,17.4,0.06,73.8,-1.5,135,14,51.9,49,0,85,44.0,67,48,-0.03,4,0,45.5,1,0,0,784
David Alaba,defender,Bayern Munich,05439de2,27,2019,84,0.68,0.0,25.7,0.05,89.9,-1.4,29,1,64.0,59,0,145,77.8,278,24,1.63,0,0,42.0,1,0,0,729
David Silva,midfielder,Manchester City,e2716bd0,33,2019,86,2.32,-0.4,14.4,0.14,87.2,3.5,33,7,35.7,39,0,20,75.0,89,15,1.51,0,0,28.0,0,1,0,1089
Davide Biraschi,defender,Genoa,64cd167d,25,2019,72,0.32,-0.5,14.4,0.07,74.6,0.5,39,1,57.7,66,0,106,69.8,85,38,0.08,3,1,67.3,1,0,0,625
Davide Calabria,defender,Milan,2146785a,22,2019,76,0.72,0.5,22.9,0.04,80.3,0.3,48,1,41.5,73,1,59,43.5,108,20,0.56,4,2,52.4,1,0,0,484
Davide Zappacosta,defender,Roma,7fe90ccd,27,2019,78,0.8,-0.6,15.7,0.16,80.6,0.3,23,0,50.0,13,1,10,16.7,6,7,-0.13,0,0,0.0,1,0,0,729
Davie Selke,forward,Hertha BSC,1238a3f9,24,2019,73,1.78,-1.0,14.2,0.1,58.7,0.3,4,0,57.1,7,0,13,41.7,7,20,-0.5,3,0,52.9,0,0,1,576
Davinson SГЎnchez,defender,Tottenham,da7b447d,23,2019,81,0.26,-0.6,10.9,0.09,85.7,0.0,2,0,50.0,78,5,256,80.0,44,37,-0.11,6,0,54.1,1,0,0,529
Dayot Upamecano,defender,RB Leipzig,d248cd8f,20,2019,79,0.5,-1.9,11.3,0.16,89.0,-0.1,1,0,53.5,95,1,191,76.3,172,32,1.02,8,1,63.5,1,0,0,400
Declan Rice,midfielder,West Ham,1c7012b8,20,2019,79,0.82,-0.3,23.7,0.04,85.2,1.6,28,2,48.0,193,0,105,75.4,185,62,-0.4,6,0,60.0,0,1,0,400
Dele Alli,midfielder,Tottenham,cea4ee8f,23,2019,83,2.0,-0.3,14.9,0.18,75.1,0.5,7,7,35.1,51,2,36,43.9,43,25,-0.08,2,0,33.9,0,1,0,529
Demarai Gray,midfielder,Leicester City,4468ec10,23,2019,75,3.18,0.0,19.8,0.09,81.0,0.9,31,1,50.0,17,0,3,40.0,10,6,0.69,1,0,20.0,0,1,0,529
Denis Zakaria,forward,M'Gladbach,384d58d9,22,2019,83,1.06,-0.3,20.9,0.1,86.2,0.4,3,4,51.3,86,1,77,78.0,65,25,0.82,7,0,47.7,0,0,1,484
Dennis Geiger,midfielder,Hoffenheim,37f606f0,21,2019,72,0.95,-0.9,20.0,0.08,83.4,1.0,55,1,12.5,18,0,12,87.5,41,23,-0.65,3,0,36.4,0,1,0,441
Dennis Praet,midfielder,Leicester City,86695068,25,2019,76,1.27,0.1,18.6,0.06,82.1,0.7,21,2,31.0,50,0,20,48.0,38,17,0.07,2,0,27.8,0,1,0,625
Diego Demme,midfielder,RB Leipzig,dc3fa3b5,27,2019,78,0.3,-0.8,21.3,0.19,85.5,-1.0,8,1,40.5,56,0,21,57.9,94,18,1.11,3,0,29.2,0,1,0,729
Diego GodГ­n,defender,Inter,fc4f85b1,33,2019,85,0.61,0.1,13.3,0.08,84.3,0.0,10,1,56.3,83,1,126,100.0,91,15,0.35,5,0,63.7,1,0,0,1089
Diego Llorente,defender,Real Sociedad,bba30585,25,2019,76,0.39,-0.1,13.5,0.11,87.0,0.8,1,0,57.1,58,5,185,88.9,76,32,0.25,7,1,56.9,1,0,0,625
Dimitri LiГ©nard,midfielder,Strasbourg,f7691f63,31,2019,75,2.06,0.4,26.0,0.05,76.3,-0.4,128,2,46.2,54,0,32,66.7,88,23,0.05,3,0,45.7,0,1,0,961
Dimitri Payet,forward,Marseille,58ae47b2,32,2019,82,2.8,1.9,23.3,0.07,68.8,-3.3,182,12,38.5,30,0,15,61.0,63,19,0.35,6,1,50.0,0,0,1,1024
Divock Origi,forward,Liverpool,43a166b4,24,2019,77,1.76,2.2,15.7,0.13,66.2,0.2,18,6,44.4,16,0,6,46.2,3,12,0.42,1,0,40.9,0,0,1,576
Domenico Berardi,forward,Sassuolo,53a0e358,24,2019,80,4.22,3.6,23.2,0.07,72.3,2.1,113,4,22.0,65,0,36,51.3,55,46,-0.25,6,1,47.2,0,0,1,576
Dominic Calvert-Lewin,forward,Everton,59e6e5bf,22,2019,79,2.91,-2.3,12.9,0.18,62.2,-0.5,19,2,10.0,13,0,42,51.9,31,43,0.06,9,0,46.2,0,0,1,484
Dominik Kohr,midfielder,Eint Frankfurt,0fbecd11,25,2019,75,1.74,-1.7,22.5,0.06,79.8,1.3,13,3,34.0,74,0,29,76.0,75,29,0.58,5,1,35.2,0,1,0,625
Dominique Heintz,defender,Freiburg,699fb8db,25,2019,75,0.15,-0.2,17.9,0.06,82.2,0.8,12,1,39.5,88,1,219,85.7,97,37,-0.57,2,0,53.0,1,0,0,625
Douglas Luiz,midfielder,Aston Villa,6f7d826d,21,2019,75,1.31,0.4,24.0,0.07,81.3,0.3,24,3,29.2,82,1,104,77.8,106,51,-0.72,8,0,46.2,0,1,0,441
Dries Mertens,forward,Napoli,89b2c8a9,32,2019,85,4.05,3.0,19.9,0.08,74.9,1.3,83,10,7.4,20,0,5,57.5,44,30,0.31,5,0,27.3,0,0,1,1024
DuvГЎn Zapata,forward,Atalanta,d3de9af0,28,2019,83,3.91,2.2,12.8,0.17,76.1,0.3,33,7,16.7,9,0,14,46.9,16,29,1.01,1,0,53.1,0,0,1,784
Eden Hazard,forward,Real Madrid,a39bb753,28,2019,88,1.59,-1.1,16.7,0.11,83.6,0.0,19,7,20.0,13,0,3,69.0,29,5,1.41,0,0,46.2,0,0,1,784
Edimilson Fernandes,forward,Mainz 05,3bb625ac,23,2019,70,1.39,0.2,26.1,0.04,85.6,-0.3,15,2,45.5,65,1,64,66.7,55,32,-0.45,7,1,51.7,0,0,1,529
Edin DЕѕeko,forward,Roma,3bb7f478,33,2019,83,3.85,-3.0,13.8,0.16,68.5,1.3,19,10,15.4,22,0,40,53.8,66,43,0.68,4,0,62.4,0,0,1,1089
Edinson Cavani,forward,Paris S-G,527f063d,32,2019,84,4.02,-4.9,10.5,0.29,83.8,-0.1,2,4,0.0,6,0,4,87.5,4,9,1.94,2,0,36.4,0,0,1,1024
Edoardo Goldaniga,defender,Genoa,4b029b31,25,2019,70,0.69,0.0,11.1,0.23,76.1,-0.3,12,0,40.0,22,1,53,50.0,42,22,-0.39,4,0,51.3,1,0,0,625
Ellyes Skhiri,midfielder,KГ¶ln,c2211709,24,2019,77,0.84,-1.2,18.9,0.09,85.1,0.5,6,3,37.7,141,0,69,68.8,86,61,-0.05,4,0,56.6,0,1,0,576
Elseid Hysaj,defender,Napoli,2f3452eb,25,2019,78,0.3,0.8,20.4,0.04,83.2,0.7,37,1,46.2,42,0,50,65.0,80,17,0.34,3,0,34.8,1,0,0,625
Emil Forsberg,midfielder,RB Leipzig,9a2e0ccc,27,2019,79,1.89,1.0,21.4,0.08,78.0,-0.9,24,1,23.1,21,0,7,73.3,50,20,0.22,1,0,36.0,0,1,0,729
Emil Krafth,defender,Newcastle Utd,77cf6852,24,2019,74,0.35,-0.3,13.5,0.08,73.0,0.4,20,0,45.0,26,0,53,66.7,18,23,-0.77,0,0,43.8,1,0,0,576
Emre Can,forward,Dortmund,a65ce836,25,2019,82,1.51,0.8,18.6,0.07,87.1,-0.5,6,3,41.7,38,0,34,66.7,37,8,0.62,5,0,73.7,0,0,1,625
Enes Гњnal,forward,Valladolid,f8eca1b6,22,2019,75,2.19,-3.4,16.5,0.13,63.8,-0.6,8,7,21.4,26,0,17,65.0,38,31,-0.45,4,0,45.0,0,0,1,484
Enis Bardhi,midfielder,Levante,cac2537b,24,2019,79,2.47,1.9,21.4,0.09,72.5,-1.5,65,11,22.9,39,0,26,64.9,63,34,-0.25,5,0,15.6,0,1,0,576
Eric Bailly,defender,Manchester Utd,a1232f4e,25,2019,79,0.0,0.0,0.0,0.0,89.7,0.0,0,0,0.0,4,1,15,100.0,2,1,-0.14,0,0,100.0,1,0,0,625
Eric Dier,forward,Tottenham,ac861941,25,2019,78,0.54,-0.9,15.6,0.11,80.0,1.6,3,0,50.0,42,0,110,100.0,51,23,-0.03,5,0,61.1,0,0,1,625
Erick Cabaco,defender,Levante,e7ab4179,24,2019,74,0.44,-0.3,14.6,0.09,75.3,-0.1,2,0,66.7,24,1,103,80.0,20,10,-0.54,4,0,54.3,1,0,0,576
Erik Thommy,midfielder,DГјsseldorf,df8e7b62,24,2019,75,2.43,1.4,22.6,0.07,69.6,-0.9,144,15,38.5,56,1,22,67.2,43,46,-0.67,3,0,29.2,0,1,0,576
Ermin BiДЌakДЌiД‡,defender,Hoffenheim,7aac47fe,29,2019,76,0.54,1.4,11.9,0.09,85.9,-0.1,3,0,36.4,32,2,116,50.0,37,20,-0.26,0,0,74.0,1,0,0,841
Fabian SchГ¤r,forward,Newcastle Utd,c8aa95da,27,2019,78,1.08,0.6,21.4,0.07,73.4,-0.1,12,1,47.5,86,2,123,66.7,59,37,-1.03,5,0,50.0,0,0,1,729
Fabinho,midfielder,Liverpool,7f3b388c,25,2019,87,0.52,1.6,28.7,0.04,86.7,1.4,9,1,38.8,96,1,40,75.0,129,26,0.66,6,0,59.4,0,1,0,625
Fabio Quagliarella,forward,Sampdoria,ee4f2f3b,36,2019,80,3.76,-1.4,16.8,0.08,65.4,-0.2,22,2,6.7,17,0,20,70.6,28,43,0.13,2,0,35.7,0,0,1,1296
Federico Bernardeschi,midfielder,Juventus,ee93c1a9,25,2019,80,2.86,-3.4,20.0,0.09,81.6,-2.4,55,3,20.0,26,1,18,52.4,40,24,0.63,6,0,66.7,0,1,0,625
Federico Ceccherini,defender,Fiorentina,d9624b51,27,2019,70,0.43,-0.2,15.2,0.06,84.7,0.0,0,1,100.0,27,1,61,85.7,20,15,-0.06,3,0,64.1,1,0,0,729
Federico Chiesa,forward,Fiorentina,b0f7e36c,21,2019,78,3.72,-1.6,18.3,0.1,72.8,0.6,53,12,19.2,44,0,5,57.1,58,33,0.3,7,0,25.0,0,0,1,441
Federico Fazio,defender,Roma,4e358a2d,32,2019,77,0.3,0.5,8.6,0.12,87.0,-0.1,2,0,54.5,38,0,89,66.7,31,20,0.53,2,1,60.0,1,0,0,1024
Federico FernГЎndez,defender,Newcastle Utd,f25b010f,30,2019,77,0.52,0.6,11.5,0.1,74.6,0.8,29,3,50.0,66,2,254,62.5,40,42,-0.75,8,0,54.1,1,0,0,900
Federico Valverde,midfielder,Real Madrid,0959c2a2,21,2019,83,1.04,0.0,23.0,0.09,87.0,1.7,16,2,33.3,59,2,27,70.4,104,12,0.96,1,0,58.1,0,1,0,441
Ferland Mendy,defender,Real Madrid,3cefcaef,24,2019,83,0.35,0.4,21.2,0.09,84.7,0.6,66,4,77.8,54,1,54,71.0,46,11,0.85,8,1,57.8,1,0,0,576
Filip KostiД‡,midfielder,Eint Frankfurt,b1cd37e6,26,2019,83,2.68,-2.3,22.6,0.07,58.5,0.5,385,17,37.3,82,0,23,59.7,81,57,0.3,4,0,57.1,0,1,0,676
Flavien Tait,midfielder,Rennes,a0f9b535,26,2019,76,1.42,0.8,19.2,0.09,72.9,0.7,20,7,32.1,29,1,3,68.8,19,9,0.19,0,1,23.5,0,1,0,676
Florent Mollet,midfielder,Montpellier,7e82a78f,27,2019,78,2.46,3.0,23.5,0.07,76.9,-2.1,127,1,25.0,22,0,6,58.3,65,25,-0.04,5,0,36.4,0,1,0,729
Florian Kainz,forward,KГ¶ln,94c18565,26,2019,75,2.31,0.6,22.2,0.09,59.4,-0.8,170,3,45.5,34,0,11,56.4,52,34,0.18,5,0,28.0,0,0,1,676
Florian Lejeune,defender,Newcastle Utd,6eaed4eb,28,2019,77,0.81,0.8,14.4,0.3,68.5,0.0,3,0,57.1,18,2,21,80.0,3,10,-1.08,0,0,53.3,1,0,0,784
Florian Niederlechner,forward,Augsburg,d6862409,28,2019,78,2.51,-0.4,14.1,0.16,70.5,0.3,18,12,19.0,29,0,47,44.4,23,54,-0.3,1,0,40.7,0,0,1,784
Francesco Acerbi,defender,Lazio,b96b595c,31,2019,83,0.46,-0.4,14.5,0.15,89.0,0.3,26,0,70.0,101,1,300,92.9,149,38,0.45,4,0,63.6,1,0,0,961
Francis Coquelin,midfielder,Valencia,a6951bf8,28,2019,80,0.43,-0.4,19.9,0.04,89.3,-0.2,3,1,42.1,75,0,65,69.0,72,27,-0.16,8,1,66.7,0,1,0,784
Gabriel Jesus,forward,Manchester City,b66315ae,22,2019,83,4.43,-3.4,11.6,0.18,86.0,3.8,6,12,28.0,28,0,7,75.0,21,14,1.76,3,0,36.9,0,0,1,484
Gabriel Silva,defender,Saint-Г‰tienne,4914ed4a,28,2019,74,0.0,0.0,0.0,0.0,67.3,0.0,5,0,66.7,8,0,10,0.0,2,6,-0.82,0,0,66.7,1,0,0,784
Gareth Bale,forward,Real Madrid,a58bb1e1,30,2019,83,2.81,-2.0,17.3,0.12,72.6,0.3,45,5,21.4,15,0,8,60.0,22,9,0.39,4,1,70.0,0,0,1,900
GaГ«l Kakuta,midfielder,Amiens,5b1bf5e3,28,2019,75,1.93,-0.8,22.4,0.07,66.5,2.4,94,9,35.4,62,2,6,64.9,61,35,-0.32,4,0,29.1,0,1,0,784
GaГ«tan Laborde,forward,Montpellier,7cdda3bf,25,2019,76,2.57,-2.3,14.6,0.13,64.8,1.2,34,6,23.7,28,1,31,41.3,32,26,0.09,1,0,52.3,0,0,1,625
Geoffrey Kondogbia,midfielder,Valencia,cce181df,26,2019,79,0.95,-0.1,25.1,0.06,83.7,0.8,1,2,37.3,120,2,89,73.3,84,30,-0.39,5,0,48.2,0,1,0,676
Georginio Wijnaldum,midfielder,Liverpool,eb58eef0,28,2019,85,1.1,1.4,16.2,0.07,90.6,-0.8,5,2,25.0,55,3,41,55.4,131,28,0.73,0,0,37.0,0,1,0,784
GermГЎn Pezzella,defender,Fiorentina,8c725b43,28,2019,78,1.08,-0.1,11.5,0.09,82.6,0.2,2,0,43.8,91,1,200,100.0,43,41,0.05,12,0,63.1,1,0,0,784
Giacomo Bonaventura,midfielder,Milan,d995ed27,29,2019,80,2.96,-0.3,20.8,0.08,82.4,2.5,28,8,29.4,23,0,17,73.3,35,14,0.73,2,0,40.0,0,1,0,841
Gian Marco Ferrari,defender,Sassuolo,8650af85,27,2019,72,0.57,-1.3,9.0,0.11,92.8,0.0,2,0,50.0,35,1,187,75.0,64,33,-0.24,5,0,61.0,1,0,0,729
Gianluca Caprari,forward,Sampdoria,54e53b7e,26,2019,74,3.1,1.8,19.6,0.05,72.2,-0.5,25,2,30.8,16,0,3,50.0,16,17,-0.47,4,1,0.0,0,0,1,676
Gianluca Mancini,forward,Roma,5aa53281,23,2019,76,0.69,-1.6,11.5,0.13,88.1,-0.8,2,0,50.0,109,1,201,78.6,88,39,0.58,16,1,71.2,0,0,1,529
Giorgio Chiellini,defender,Juventus,e85fb9b8,34,2019,87,0.45,0.8,8.6,0.19,87.4,0.0,0,1,100.0,4,0,18,100.0,4,1,0.69,0,0,57.1,1,0,0,1156
Giovani Lo Celso,midfielder,Tottenham,d7553721,23,2019,82,1.09,-1.3,22.0,0.07,81.1,0.4,57,3,20.3,60,0,23,62.7,81,18,-0.16,6,0,26.7,0,1,0,529
Giovanni Simeone,forward,Cagliari,343c0d52,24,2019,76,2.68,0.2,15.1,0.14,66.9,0.7,16,7,15.6,35,1,21,49.2,5,41,-0.26,4,0,25.3,0,0,1,576
Giuseppe Pezzella,defender,Parma,149c5f5d,21,2019,72,0.19,-0.1,24.5,0.04,73.8,-0.2,33,0,57.9,26,0,39,52.2,28,20,-0.62,2,0,45.0,1,0,0,441
Gonzalo Escalante,midfielder,Eibar,3f79a1c8,26,2019,77,1.13,-1.7,15.4,0.08,67.1,-0.1,16,3,58.5,70,0,29,72.7,52,31,-0.41,9,1,48.7,0,1,0,676
Granit Xhaka,midfielder,Arsenal,e61b8aee,26,2019,80,0.38,0.5,23.0,0.05,87.2,1.0,16,1,45.5,66,3,125,78.1,197,31,-0.1,10,0,45.5,0,1,0,676
Guillermo MaripГЎn,defender,Monaco,d9764034,25,2019,75,0.62,0.1,13.8,0.16,87.8,-0.1,4,0,58.5,67,2,127,50.0,60,31,0.21,2,0,56.5,1,0,0,625
Hakan Г‡alhanoДџlu,midfielder,Milan,cd0fa27b,25,2019,79,3.33,1.0,22.6,0.07,77.8,1.1,151,5,34.3,68,1,39,62.2,125,41,0.44,6,0,38.0,0,1,0,625
Hamari TraorГ©,defender,Rennes,a4b1028a,27,2019,79,0.82,-1.4,21.3,0.06,79.4,2.3,60,6,50.0,103,1,66,61.0,84,22,0.27,7,0,55.2,1,0,0,729
Hamza Choudhury,midfielder,Leicester City,7d2d3329,21,2019,74,0.71,0.6,16.2,0.05,85.4,0.9,4,0,12.0,41,0,25,30.0,29,12,0.15,4,1,54.5,0,1,0,441
Hans Hateboer,defender,Atalanta,3b333ac3,25,2019,78,0.73,-2.3,13.1,0.12,83.1,-0.5,76,3,47.4,46,1,46,42.3,45,34,1.27,10,0,52.6,1,0,0,625
Harry Kane,forward,Tottenham,21a66f6a,26,2019,88,2.75,5.1,19.2,0.14,65.4,-1.3,19,6,23.5,24,0,38,50.9,52,36,-0.03,4,0,39.1,0,0,1,676
Harry Maguire,defender,Manchester Utd,d8931174,26,2019,82,0.82,-1.1,12.7,0.07,86.5,-0.4,2,0,52.9,109,0,360,63.6,163,36,0.64,6,0,71.5,1,0,0,676
Harry Winks,midfielder,Tottenham,2f7acede,23,2019,79,0.57,-0.5,25.4,0.04,89.1,-1.0,28,0,31.5,76,1,54,71.4,148,31,-0.27,9,0,63.6,0,1,0,529
Harvey Barnes,midfielder,Leicester City,3ea50f67,21,2019,79,2.64,-2.1,16.7,0.13,75.4,3.9,41,11,21.7,24,1,9,53.1,30,24,0.44,0,0,42.4,0,1,0,441
Henrikh Mkhitaryan,midfielder,Roma,dd0daf32,30,2019,80,2.53,3.3,17.4,0.13,82.7,2.0,15,4,42.2,43,0,12,47.7,52,24,0.58,5,0,43.5,0,1,0,900
Houssem Aouar,midfielder,Lyon,a5db0bec,21,2019,81,2.12,-0.7,20.0,0.08,84.1,1.7,24,11,28.6,41,0,10,59.8,101,23,0.29,3,0,58.6,0,1,0,441
