"Player","Pos","Squad","id","Age","Season","RATING","Gls","SoT%","Cmp","Cmp%","Ast","Tkl","Tkl%","Clr","Att.5","Succ%","Min","PPM","CrdY","CrdR","Fls","Won%","def","mid","forw","Age^2"
"Tony Jantschke","defender","M'Gladbach","34b54da7","29","2019","75","0","0","535","80.5","0","33","62.5","48","1","100","1012","2.06","6","0","17","45.6","1","0","0","841"
"Trent Alexander-Arnold","defender","Liverpool","cd1acf9d","20","2019","87","4","29.5","2278","70.5","13","55","46.2","84","51","41.2","3175","2.61","5","0","22","33.3","1","0","0","400"
"Tristan DingomГ©","midfielder","Reims","92b56413","28","2019","73","0","11.1","267","71.4","1","10","16.7","1","5","60","892","1.67","1","0","20","25","0","1","0","784"
"Tyrone Mings","defender","Aston Villa","8397a50c","26","2019","75","2","37.5","1085","77.5","2","15","76.9","190","12","100","2902","0.97","7","0","20","60.4","1","0","0","676"
"Valentin Rongier","midfielder","Marseille","ed45c4a5","24","2019","80","0","25","1089","85.9","2","76","34.9","16","31","87.1","1790","2","3","0","34","59.5","0","1","0","576"
"Victor LindelГ¶f","defender","Manchester Utd","f5deef4c","25","2019","80","1","16.7","1824","86.3","0","29","85","129","5","80","3092","1.8","6","0","22","66.7","1","0","0","625"
"Vincent Manceau","defender","Angers","c26a3918","30","2019","73","0","25","1069","79.4","0","34","44.4","51","14","42.9","1980","1.18","1","0","14","55.6","1","0","0","900"
"Vincent Pajot","midfielder","Metz","f86ca403","28","2019","72","0","33.3","197","81.1","3","16","50","13","6","33.3","519","2.29","0","1","13","40","0","1","0","784"
"Vincenzo Grifo","midfielder","Freiburg","54e4866f","26","2019","78","4","35.4","562","72.4","8","15","24","18","50","50","1618","1.35","1","1","10","37.9","0","1","0","676"
"Virgil van Dijk","defender","Liverpool","e06683ca","28","2019","90","5","45.2","2919","89.1","1","23","46.2","166","4","75","3420","2.61","1","0","16","77","1","0","0","784"
"VladimГ­r Darida","midfielder","Hertha BSC","3eb0f2df","28","2019","77","3","32.6","835","71.9","4","50","22.9","19","36","66.7","2256","1.21","8","1","38","28.3","0","1","0","784"
"Wahbi Khazri","forward","Saint-Г‰tienne","2677a1de","28","2019","76","3","18.2","220","61.5","2","17","33.3","0","30","53.3","1149","1.31","4","0","21","23.1","0","0","1","784"
"Walace","midfielder","Udinese","26db8853","24","2019","72","0","18.2","600","88.4","0","28","31","19","16","81.3","1139","1.25","2","0","24","59.1","0","1","0","576"
"Weston McKennie","forward","Schalke 04","01c3aff5","20","2019","75","3","25","844","79.1","0","38","32.5","39","46","58.7","2074","1.14","8","0","37","59.4","0","0","1","400"
"Wilfred Ndidi","midfielder","Leicester City","6b47c5db","22","2019","84","2","11.5","1421","84.9","1","128","49.5","69","32","68.8","2674","1.78","6","0","56","55","0","1","0","484"
"Wilfried Zaha","forward","Crystal Palace","b2bc3b1f","26","2019","83","4","27.9","928","78.1","3","43","24.5","4","267","61","3280","1.13","5","0","48","28.6","0","0","1","676"
"Willi Orban","defender","RB Leipzig","20030c06","26","2019","79","1","42.9","513","87.5","0","20","60","52","2","100","856","1.67","0","0","6","65.5","1","0","0","676"
"Wissam Ben Yedder","forward","Monaco","942b4f90","28","2019","84","18","54.1","591","72.2","4","22","42.1","1","56","60.7","2164","1.5","1","0","10","26.1","0","0","1","784"
"Xherdan Shaqiri","forward","Liverpool","6421ec64","27","2019","81","1","25","89","80.9","0","1","0","0","4","50","185","2.57","0","0","1","42.9","0","0","1","729"
"Yacine Adli","midfielder","Bordeaux","26777636","19","2019","70","3","35.3","448","78.5","3","22","32.4","3","48","54.2","1020","1.33","3","0","13","43.5","0","1","0","361"
"Yannick Gerhardt","midfielder","Wolfsburg","62ab9184","25","2019","75","2","36.4","293","75.7","0","28","38.1","9","11","54.5","828","1.72","1","0","10","55","0","1","0","625"
"Yerry Mina","defender","Everton","6d5701f2","24","2019","78","2","37.9","1141","83.2","1","39","75","102","8","75","2284","1.28","3","0","20","62.1","1","0","0","576"
"Youri Tielemans","midfielder","Leicester City","56f7a928","22","2019","81","3","23.2","1504","79.8","6","52","32.4","18","48","60.4","2828","1.59","2","0","32","45.5","0","1","0","484"
"Youssef En-Nesyri","forward","Sevilla","04e17fd5","22","2019","78","4","38.1","96","61.5","0","7","30","7","14","35.7","796","1.78","1","0","16","45.9","0","0","1","484"
"Youssouf Sabaly","defender","Bordeaux","fbbb9269","26","2019","75","0","20","471","79.8","1","18","27.3","23","19","52.6","913","1.08","1","0","11","48.1","1","0","0","676"
"Yussuf Poulsen","forward","RB Leipzig","d2416c2e","25","2019","78","5","30.3","223","66.4","6","14","19","15","24","62.5","1222","1.77","2","0","29","39.8","0","0","1","625"
"Yves Bissouma","midfielder","Brighton","6c203af0","22","2019","75","1","43.8","529","84.1","0","49","42.5","23","48","66.7","1259","1.05","4","0","31","51.6","0","1","0","484"
"Zaydou Youssouf","midfielder","Saint-Г‰tienne","e2f9bb5f","20","2019","71","0","25","416","79.7","0","40","42.9","13","41","87.8","1077","1.38","4","0","16","45","0","1","0","400"
"ГЃdГЎm Szalai","forward","Mainz 05","53e07d0b","31","2019","71","1","33.3","181","59.7","1","8","9.1","14","17","70.6","1147","1.22","1","0","23","50","0","0","1","961"
"ГЃngel Correa","midfielder","AtlГ©tico Madrid","01eb744d","24","2019","82","5","37.2","431","72.9","6","25","25","21","68","54.4","2061","1.79","5","0","26","22","0","1","0","576"
"ГЃngel Di MarГ­a","forward","Paris S-G","19cda00b","31","2019","87","8","30.6","908","70.3","14","17","11.8","1","133","50.4","2000","2.5","2","0","12","25","0","0","1","961"
"Г‡aДџlar SГ¶yГјncГј","defender","Leicester City","21166ff4","23","2019","80","1","29.4","2086","89.1","1","60","58.7","156","22","77.3","3036","1.65","4","1","30","62.9","1","0","0","529"
"Г“scar Duarte","defender","Levante","aa0ac32d","30","2019","72","0","25","196","82","0","12","75","29","1","100","485","1.5","0","0","10","43.5","1","0","0","900"
"Д°lkay GГјndoДџan","midfielder","Manchester City","819b3158","28","2019","83","2","19.4","1808","90.9","1","27","22","13","24","75","2020","2.03","7","0","16","42.3","0","1","0","784"
"Aaron Cresswell","defender","West Ham","4f974391","30","2020","79","0","21.1","1586","74.1","8","32","56.3","79","10","40","3170","1.81","3","0","13","54.7","1","0","0","900"
"Aaron Ramsey","midfielder","Juventus","ef619b0b","29","2020","80","2","45.8","622","85.4","4","22","32","8","13","76.9","1089","2.18","2","0","19","38.1","0","1","0","841"
"Abdou Diallo","defender","Paris S-G","fc62f087","24","2020","78","0","0","1099","92.6","1","16","61.5","36","26","65.4","1490","2.23","3","2","17","63.9","1","0","0","576"
"Abdoulaye Bamba","defender","Angers","7fecbcdb","30","2020","73","0","100","650","74.3","0","27","67.9","34","9","44.4","1347","1.25","2","0","14","52.6","1","0","0","900"
"Abdoulaye DoucourГ©","midfielder","Everton","02b29014","27","2020","79","2","27.8","1141","84.3","3","52","32.6","31","33","63.6","2443","1.69","6","0","23","66.7","0","1","0","729"
"Abdoulaye TourГ©","midfielder","Nantes","ef7cd87a","26","2020","72","2","15.4","799","84.5","2","28","45.2","19","30","70","1681","0.83","2","0","20","60","0","1","0","676"
"Achraf Hakimi","defender","Inter","e42d61c7","21","2020","85","7","41","1253","81.4","8","53","47.9","23","64","51.6","2665","2.38","6","0","31","36.4","1","0","0","441"
"Adam Lallana","midfielder","Brighton","99813635","32","2020","75","1","22.7","792","83.9","1","28","20.5","13","28","64.3","1596","1.13","0","0","18","27.8","0","1","0","1024"
"Adam MaruЕЎiД‡","defender","Lazio","d4535821","27","2020","79","2","44.4","1312","83.1","3","38","50","54","51","47.1","2966","1.72","3","0","19","50.9","1","0","0","729"
"Adam Ounas","forward","Crotone","ed90babd","23","2020","74","4","40","384","77.3","4","9","0","4","75","76","1199","0.73","1","0","11","39.1","0","0","1","529"
"Adama Soumaoro","defender","Bologna","7b075c75","28","2020","75","1","25","822","88.9","0","24","50","72","6","100","1755","1.05","4","0","33","80","1","0","0","784"
"Ademola Lookman","forward","Fulham","7c104bb7","22","2020","77","4","32.4","892","74.4","4","35","29.5","9","128","64.1","2747","0.82","5","0","46","24.1","0","0","1","484"
"Admir Mehmedi","midfielder","Wolfsburg","b500b384","29","2020","74","0","42.9","340","77.3","2","17","37.5","1","8","87.5","820","1.94","0","0","19","20.8","0","1","0","841"
"Adnan Januzaj","forward","Real Sociedad","4737cebe","25","2020","81","4","31","397","70","5","9","37.5","4","67","67.2","1014","1.7","2","0","8","42.1","0","0","1","625"
"Adrien Tameze","midfielder","Hellas Verona","8da74c05","26","2020","75","1","16.7","802","79.1","0","39","40.7","46","45","75.6","2304","1.27","6","0","35","47.8","0","1","0","676"
"Adrien Thomasson","midfielder","Strasbourg","c76b7567","26","2020","76","5","31.9","861","76.1","1","36","20.7","2","47","51.1","2624","1.11","8","1","52","27","0","1","0","676"
"Ainsley Maitland-Niles","midfielder","West Brom","e3a5814e","22","2020","75","0","30","313","75.2","0","22","32.1","24","33","48.5","1230","0.93","2","0","10","20.8","0","1","0","484"
"Alberto Grassi","forward","Parma","6cc97b6a","25","2020","73","0","30","362","78.5","0","30","27.6","32","14","50","1177","0.65","3","0","16","59.1","0","0","1","625"
"Albin Ekdal","midfielder","Sampdoria","f503ea63","31","2020","76","2","21.4","878","83.7","1","56","35.4","35","24","83.3","2299","1.31","9","0","49","54.8","0","1","0","961"
"Alessandro Bastoni","defender","Inter","75b86fb3","21","2020","80","0","10","2065","89.5","3","36","63","75","15","80","2922","2.45","6","0","40","60","1","0","0","441"
"Alessandro Florenzi","defender","Paris S-G","e288d4b3","29","2020","81","2","38.1","815","80.8","1","24","41.4","25","11","45.5","1538","2","1","0","10","39.4","1","0","0","841"
"Alessandro SchГ¶pf","forward","Schalke 04","106bca06","26","2020","71","0","10","279","79.7","0","11","16.7","6","30","40","942","0.42","0","0","12","31.6","0","0","1","676"
"Alessio Romagnoli","defender","Milan","3ead85f9","25","2020","82","1","20","920","89.4","1","17","42.1","80","0","0","1907","2.09","7","0","19","67.9","1","0","0","625"
"Alex Ferrari","defender","Sampdoria","d0dbca9f","26","2020","70","0","0","411","83.4","1","27","62.5","26","2","50","880","1.42","3","0","9","68","1","0","0","676"
"Alex Iwobi","forward","Everton","6ca5ec4b","24","2020","77","1","20","528","75.6","2","27","52","14","71","63.4","1542","1.53","0","0","13","27.3","0","0","1","576"
"Alex Oxlade-Chamberlain","midfielder","Liverpool","38c7feef","26","2020","79","1","50","106","74.1","1","4","0","0","7","14.3","253","1.54","0","0","3","57.1","0","1","0","676"
"Alex Sandro","defender","Juventus","0d82903c","29","2020","83","2","23.1","1208","85","1","37","52","57","28","78.6","1858","2.23","2","0","26","62.3","1","0","0","841"
"Alexander Djiku","forward","Strasbourg","43e7a164","25","2020","76","0","18.8","1134","83.9","0","60","61.5","104","6","83.3","2552","1.27","8","0","50","59.6","0","0","1","625"
"Alexander Hack","defender","Mainz 05","a5ec3ede","26","2020","71","1","28.6","536","76.5","0","32","58.1","91","7","100","1370","1.14","2","0","14","60.5","1","0","0","676"
"Alexandre Lacazette","forward","Arsenal","9dbb75ca","29","2020","82","13","59.5","405","77.4","2","18","18.2","13","36","61.1","1923","1.52","3","0","37","30.7","0","0","1","841"
"Alexis SГЎnchez","forward","Inter","2c0f8e9e","31","2020","80","7","53.6","398","77.3","5","14","27.8","1","36","66.7","1146","2.47","0","0","19","47.4","0","0","1","961"
"Alfred Duncan","midfielder","Cagliari","528492ea","27","2020","74","0","0","482","80.6","1","18","19","8","27","66.7","1068","1.16","2","0","16","40","0","1","0","729"
"Allan Saint-Maximin","forward","Newcastle Utd","2b16cb1a","23","2020","79","3","40","355","80","4","16","44.4","2","145","66.2","1560","1.36","0","0","10","40","0","0","1","529"
"Almamy TourГ©","defender","Eint Frankfurt","c8c60119","24","2020","74","1","26.7","222","65.1","1","18","71.4","22","16","62.5","704","2.24","2","0","13","56.3","1","0","0","576"
"Amadou Diawara","midfielder","Roma","bf309d24","23","2020","76","1","57.1","362","89.8","0","10","25","4","5","100","658","1.5","4","1","17","50","0","1","0","529"
"Ambroise Oyongo","defender","Montpellier","e3e05edf","29","2020","74","1","100","231","75.2","1","13","60","26","6","16.7","558","1.38","1","0","7","60","1","0","0","841"
"Amine Harit","midfielder","Schalke 04","e7d59f4f","23","2020","75","2","22.7","639","73.5","5","22","43.5","7","142","63.4","2101","0.5","4","0","28","21.4","0","1","0","529"
"Anastasios Donis","midfielder","Reims","0f26fd24","23","2020","69","0","0","12","50","0","4","100","0","2","0","97","0","0","1","3","100","0","1","0","529"
"Ander Herrera","midfielder","Paris S-G","436a9dd0","30","2020","79","1","19","1580","90.3","3","53","39","22","23","52.2","1851","2.35","6","0","32","40","0","1","0","900"
"Andrea Conti","defender","Parma","8fef5412","26","2020","76","0","40","373","80.9","0","21","50","23","5","40","809","0.55","3","0","15","46.7","1","0","0","676"
"Andrea Petagna","forward","Napoli","03f946ed","25","2020","76","4","41.7","186","80.2","3","2","28.6","7","12","58.3","964","1.92","0","0","19","49.1","0","0","1","625"
"Andrea Ranocchia","defender","Inter","539230cf","32","2020","74","0","22.2","468","94.4","1","13","87.5","19","0","0","703","2.75","2","0","13","66.7","1","0","0","1024"
"Andreas Christensen","defender","Chelsea","1cb49278","24","2020","80","0","0","1046","91","0","11","0","51","7","100","1371","1.94","2","1","9","67.9","1","0","0","576"
"Andrei Girotto","forward","Nantes","3befc2b6","28","2020","75","1","20.7","1180","79.6","1","65","55.7","103","5","60","2668","1.09","3","1","32","62","0","0","1","784"
"Andrej KramariД‡","forward","Hoffenheim","603cb947","29","2020","83","20","42.9","780","76.5","5","7","37.5","5","50","50","2379","1.46","2","0","2","28","0","0","1","841"
"Andrew Robertson","defender","Liverpool","2e4f5f03","26","2020","87","1","26.3","2624","79.4","7","46","49.1","79","53","52.8","3383","1.82","2","0","23","52.7","1","0","0","676"
"Andriy Yarmolenko","forward","West Ham","849c826a","30","2020","76","0","28.6","117","77","1","5","25","2","12","50","375","1.2","3","0","8","66.7","0","0","1","900"
"Andros Townsend","midfielder","Crystal Palace","b28bbd58","29","2020","77","1","30.6","578","66.4","5","78","38","19","73","60.3","2258","1.18","0","0","28","9.5","0","1","0","841"
"AndrГ© Hahn","forward","Augsburg","cd82452e","29","2020","75","8","32.6","247","54","3","31","20.5","24","40","42.5","2037","1.1","4","0","33","38","0","0","1","841"
"AndrГ©s Guardado","midfielder","Betis","ef322658","33","2020","78","1","45.5","654","83.1","0","25","40","19","16","81.3","1318","1.88","4","0","21","50","0","1","0","1089"
"Andy Delort","forward","Montpellier","d33c706e","28","2020","81","15","38.9","530","58.6","9","12","44.4","34","62","50","2482","1.6","4","0","54","55.1","0","0","1","784"
"Angelo Fulgini","midfielder","Angers","4b96c347","23","2020","78","7","43.1","1289","79.6","3","22","35.3","9","155","52.3","2725","1.27","4","0","29","31.3","0","1","0","529"
"Angelo Ogbonna","defender","West Ham","74b2cd7e","32","2020","80","3","30.8","830","81.2","0","26","52.9","119","4","75","2492","1.64","5","0","28","57.8","1","0","0","1024"
"Ante RebiД‡","forward","Milan","536cebe5","26","2020","82","11","53.5","290","61.4","4","26","21.6","17","41","48.8","1776","2","4","1","33","39.7","0","0","1","676"
"Anthony Martial","forward","Manchester Utd","8b788c01","24","2020","81","4","46.5","409","83.1","3","2","0","8","59","59.3","1480","2.05","0","1","15","40","0","0","1","576"
"Antoine Griezmann","forward","Barcelona","df69b544","29","2020","85","13","46.4","1168","86.4","7","37","30","11","37","70.3","2604","2.03","4","0","13","51.4","0","0","1","841"
"Antonio Candreva","midfielder","Sampdoria","356c9002","33","2020","79","5","32.7","1093","66.6","8","28","39.6","27","51","56.9","2505","1.31","1","0","15","27.3","0","1","0","1089"
"Antonio RГјdiger","defender","Chelsea","18b896d6","27","2020","83","1","42.9","1365","89","0","31","80","51","6","50","1710","2.05","0","0","16","67.7","1","0","0","729"
"Antonio Sanabria","forward","Betis","0a447501","24","2020","74","3","48","159","71","0","5","0","9","19","57.9","932","1.06","2","0","17","53.8","0","0","1","576"
"AntonГ­n BarГЎk","midfielder","Hellas Verona","01efac19","25","2020","78","7","35.6","1017","77.6","3","30","29.8","38","41","65.9","2765","1.24","5","1","60","44.5","0","1","0","625"
"Arkadiusz Milik","forward","Marseille","85613cf0","26","2020","81","9","41.9","228","74.8","1","14","16.7","9","14","50","1220","1.53","2","0","15","46.4","0","0","1","676"
"Armando Izzo","defender","Torino","89976232","28","2020","79","2","17.6","973","80.6","0","30","39.4","62","18","66.7","2004","1.16","3","0","43","56.5","1","0","0","784"
"Arne Maier","midfielder","Arminia","ab700320","21","2020","74","0","18.2","319","72.3","0","13","36.4","11","13","61.5","1034","1.19","0","0","1","50","0","1","0","441"
"Arthur Masuaku","forward","West Ham","57df7a11","26","2020","77","0","33.3","443","78.3","2","20","32.4","28","44","65.9","1006","1.92","2","0","10","36.4","0","0","1","676"
"Ashley Barnes","forward","Burnley","2691c772","30","2020","75","3","32.4","189","60","0","12","23.1","11","2","50","1331","1.09","4","0","46","42.3","0","0","1","900"
"Ashley Westwood","midfielder","Burnley","495945ef","30","2020","78","3","35","1662","74","3","23","23.8","33","19","68.4","3410","1.03","7","0","35","38.9","0","1","0","900"
"Ashley Young","defender","Inter","be927d03","35","2020","78","1","33.3","542","79.8","4","15","23.1","31","13","38.5","1425","2.42","4","0","13","23.1","1","0","0","1225"
"Aymen Barkok","forward","Eint Frankfurt","a2a85828","22","2020","73","2","31.6","362","73.1","3","29","32.3","9","45","51.1","977","1.73","5","0","23","38.5","0","0","1","484"
"Aymeric Laporte","defender","Manchester City","119b9a8e","26","2020","86","0","16.7","1169","91","0","13","63.6","28","2","100","1344","2.38","1","0","9","66.1","1","0","0","676"
"AГЇssa Mandi","defender","Betis","fbd6378b","28","2020","80","3","87.5","1387","90.9","1","30","62.5","90","2","100","2392","1.57","6","2","20","62.1","1","0","0","784"
"Baptiste Santamaria","midfielder","Freiburg","5e22e2a4","25","2020","78","1","27.6","777","74.5","2","51","37","34","29","65.5","2209","1.23","5","0","32","59.6","0","1","0","625"
"Bartosz BereszyЕ„ski","defender","Sampdoria","61b3978f","28","2020","73","1","33.3","1203","80.4","0","66","56.2","88","33","54.5","2607","1.29","2","0","28","45.9","1","0","0","784"
"Ben Chilwell","defender","Chelsea","d2424d1b","23","2020","82","3","37","1431","77.8","5","42","45.5","58","27","59.3","2286","1.7","3","0","23","53.5","1","0","0","529"
"Ben Davies","defender","Tottenham","44781702","27","2020","79","0","0","627","76.7","1","27","43.3","49","7","42.9","1346","1.7","1","0","19","53.1","1","0","0","729"
"Ben Mee","defender","Burnley","8df7a2fb","30","2020","79","2","27.3","802","71","0","32","48.3","148","6","66.7","2693","1.23","3","0","15","62.4","1","0","0","900"
"Benjamin AndrГ©","midfielder","Lille","ef9c1c95","29","2020","81","0","36.8","1703","83.5","1","114","43.4","49","44","65.9","2885","2.2","10","0","70","50.3","0","1","0","841"
"Benjamin Bourigeaud","midfielder","Rennes","20e73fac","26","2020","78","6","37.5","1442","75.6","5","40","29.6","25","16","50","2552","1.57","8","0","26","28.6","0","1","0","676"
"Benjamin Henrichs","forward","RB Leipzig","0a89e877","23","2020","76","0","40","258","75","1","12","22.2","8","4","25","540","2.23","3","0","8","33.3","0","0","1","529"
"Benjamin Pavard","defender","Bayern Munich","45a03961","24","2020","79","0","27.3","1414","84.4","0","44","57.5","31","6","50","1943","2.29","3","0","18","62.1","1","0","0","576"
"Berat Djimsiti","defender","Atalanta","6eee05f1","27","2020","79","0","5","1568","87.2","3","41","50","89","13","76.9","2625","2.03","8","0","31","71","1","0","0","729"
"Bernardo Silva","midfielder","Manchester City","3eb22ec9","25","2020","86","2","46.4","1287","89.7","6","26","21.2","8","65","63.1","2065","2.42","5","0","17","29.5","0","1","0","625"
"Bertrand TraorГ©","forward","Aston Villa","c47541e0","24","2020","77","7","35.9","569","70.4","6","26","29.4","14","97","53.6","2317","1.36","1","0","31","50.8","0","0","1","576"
"Borja Mayoral","forward","Roma","64e8ed6d","23","2020","76","10","37.5","291","78.2","3","3","10","5","22","45.5","1551","1.74","1","0","10","22.7","0","0","1","529"
"Boubacar Kamara","midfielder","Marseille","cc77354e","20","2020","80","0","36.8","1762","86.4","2","88","54.1","51","54","63","2894","1.71","6","0","49","60","0","1","0","400"
"Bouna Sarr","defender","Bayern Munich","1a4b9094","28","2020","75","0","0","330","86.4","1","9","50","7","20","60","452","2.25","1","0","11","61.5","1","0","0","784"
"Brais MГ©ndez","midfielder","Celta Vigo","c9e39d91","23","2020","76","9","42.9","919","77","0","59","24.6","34","41","29.3","2671","1.56","8","0","77","33.7","0","1","0","529"
"Bram Nuytinck","defender","Udinese","e33f36d5","30","2020","74","1","50","697","83.5","0","21","65","77","5","80","1641","1.65","1","0","8","70","1","0","0","900"
"Breel Embolo","forward","M'Gladbach","0b4f388a","23","2020","77","5","48.8","324","72","2","15","0","8","65","61.5","1440","1.45","4","0","34","42.4","0","0","1","529"
"Bryan Cristante","forward","Roma","16657b95","25","2020","78","1","28.6","1224","82.6","3","27","35.7","61","27","85.2","2155","1.59","8","0","31","50","0","0","1","625"
"Callum Hudson-Odoi","forward","Chelsea","15f3ec41","19","2020","77","2","26.1","533","80.9","3","23","38.1","6","29","51.7","1059","1.87","0","0","11","10","0","0","1","361"
"Callum Wilson","forward","Newcastle Utd","c596fcb0","28","2020","79","12","35.6","242","67.4","5","12","16.7","14","43","60.5","2084","1.35","2","0","40","31.6","0","0","1","784"
"Calum Chambers","defender","Arsenal","dc6f5bdd","25","2020","75","0","0","466","78.6","2","7","37.5","37","10","40","753","2","0","0","7","52.6","1","0","0","625"
"Casemiro","midfielder","Real Madrid","4d224fe8","28","2020","89","6","23.9","1630","82.8","4","84","45.2","62","23","56.5","2901","2.32","11","1","55","55.7","0","1","0","784"
"Cengiz Гњnder","forward","Leicester City","1880614f","23","2020","77","0","11.1","91","70","2","4","60","0","23","65.2","281","0.78","0","0","1","0","0","0","1","529"
"Cenk Tosun","forward","Everton","9a104dee","29","2020","74","0","0","10","66.7","0","0","0","0","0","0","48","0.8","1","0","1","0","0","0","1","841"
"Cesc FГ bregas","midfielder","Monaco","33508c78","33","2020","76","2","25","634","78.4","3","20","40.9","3","11","54.5","877","1.76","2","0","14","50","0","1","0","1089"
"Charles ArГЎnguiz","midfielder","Leverkusen","56413b1f","31","2020","80","0","50","998","85.4","0","41","39.5","17","15","60","1669","1.19","4","0","31","38.5","0","1","0","961"
"Charlie Taylor","defender","Burnley","cc2d7ad5","26","2020","76","0","66.7","922","68.7","1","48","54.3","87","47","53.2","2426","1","1","0","9","56.5","1","0","0","676"
"Cheikhou KouyatГ©","defender","Crystal Palace","8d3c902d","30","2020","78","1","28.6","992","77.1","0","58","58.1","125","12","83.3","3121","1.22","4","0","36","60.3","1","0","0","900"
"Chris Smalling","defender","Roma","b6964eb6","30","2020","78","0","14.3","620","90.6","1","14","60","46","4","100","1111","2.13","3","0","13","65.8","1","0","0","900"
"Chris Wood","forward","Burnley","4e9a0555","28","2020","79","12","54.4","425","64.1","3","12","27.8","21","21","33.3","2741","1","0","0","38","44.2","0","0","1","784"
"Christian Benteke","forward","Crystal Palace","ab070c55","29","2020","75","10","46.5","339","58.1","1","15","22.2","39","27","59.3","1816","1.07","3","1","35","57","0","0","1","841"
"Christian Eriksen","midfielder","Inter","980522ec","28","2020","82","3","40","863","81.3","0","12","35","13","15","73.3","1385","2.42","1","0","13","57.1","0","1","0","784"
"Christian GГјnter","forward","Freiburg","8593f88c","27","2020","79","3","26.9","1187","72.2","3","34","34.9","40","35","45.7","3060","1.32","2","0","31","46.7","0","0","1","729"
"Christian Pulisic","forward","Chelsea","1bf33a9a","21","2020","82","4","37.2","561","79.6","2","19","38.1","9","108","45.4","1738","1.63","2","0","13","31.1","0","0","1","441"
"Christoph Kramer","midfielder","M'Gladbach","496aeede","29","2020","79","0","11.1","1123","85.5","2","55","48.3","39","34","67.6","2033","1.5","5","0","32","41.3","0","1","0","841"
"Christophe HГ©relle","defender","Brest","3681cfff","27","2020","73","0","0","789","87.3","0","19","83.3","41","5","80","1377","1.19","4","0","19","64.3","1","0","0","729"
"Christopher Nkunku","forward","RB Leipzig","7c56da38","22","2020","81","6","47.3","761","76","6","16","44.4","14","61","59","1892","1.96","2","0","39","50","0","0","1","484"
"Ciaran Clark","defender","Newcastle Utd","2b91cf8e","30","2020","75","1","25","657","81.3","0","24","46.2","104","8","50","1891","0.95","3","0","16","63.3","1","0","0","900"
"Ciro Immobile","forward","Lazio","4431aed2","30","2020","87","20","39.3","651","72.6","6","14","31.8","9","47","57.4","2849","1.91","4","1","37","32.5","0","0","1","900"
"ClГ©ment Lenglet","defender","Barcelona","4f28a6ff","25","2020","82","1","45.5","2130","91.8","0","36","67.9","71","11","72.7","2475","2.09","11","2","50","56.2","1","0","0","625"
"Corentin Jean","forward","Lens","7d9b37bf","25","2020","70","1","47.6","124","73.8","1","4","0","2","17","47.1","580","1.48","3","0","14","22.7","0","0","1","625"
"Corentin Tolisso","midfielder","Bayern Munich","652d4c37","25","2020","80","1","58.3","480","86","0","19","31","8","8","37.5","781","2.44","1","1","12","46.7","0","1","0","625"
"Cristiano Biraghi","defender","Fiorentina","9e1577aa","27","2020","76","1","24","1175","67.7","5","42","60","56","29","44.8","2803","1.03","8","0","27","32.1","1","0","0","729"
"Damien Da Silva","defender","Rennes","1ec7e1c5","32","2020","77","4","47.8","1784","87.6","0","22","66.7","99","11","90.9","2661","1.57","7","1","30","66.4","1","0","0","1024"
"DamiГЎn SuГЎrez","defender","Getafe","ba5004e1","32","2020","78","1","20","863","64.3","0","59","37","42","39","56.4","2434","1.16","13","1","53","55.6","1","0","0","1024"
"Daniel Caligiuri","midfielder","Augsburg","d1273f09","32","2020","77","6","35.1","795","67.1","4","71","31.5","41","88","69.3","2665","1.09","5","0","35","37.5","0","1","0","1024"
"Daniel Ginczek","forward","Wolfsburg","e5f63987","29","2020","73","0","0","42","59.2","0","2","25","2","5","60","215","1.09","0","0","2","52","0","0","1","841"
"Daniel Wass","forward","Valencia","d83bbc54","31","2020","80","4","27","1237","76.1","1","52","40","69","17","52.9","2979","1.2","8","0","36","52.7","0","0","1","961"
"Daniele Baselli","midfielder","Torino","ea06dd97","28","2020","76","0","40","163","75.1","0","12","60","5","7","57.1","396","1.13","2","0","6","50","0","1","0","784"
"Daniele Rugani","defender","Cagliari","14b8fcdf","26","2020","77","1","33.3","402","79.1","1","24","50","46","1","100","1001","1.25","2","0","15","67.3","1","0","0","676"
"Danilo","forward","Juventus","94b2001f","29","2020","81","1","10.5","2184","88.1","4","62","53","68","25","88","2916","2.15","6","0","25","60","0","0","1","841"
"Danilo Cataldi","midfielder","Lazio","ba3d3bea","25","2020","73","0","33.3","351","81.8","0","7","22.2","7","9","88.9","568","1.53","4","0","9","16.7","0","1","0","625"
"Danilo D'Ambrosio","defender","Inter","44eb9093","31","2020","79","3","75","431","90.5","0","15","40","15","7","57.1","699","2.47","2","0","11","50","1","0","0","961"
"Danny Ings","forward","Southampton","07802f7f","28","2020","81","12","43.6","337","63.9","4","22","42.9","27","59","50.8","2173","1.28","1","0","19","24.2","0","0","1","784"
"Danny Welbeck","forward","Brighton","ce5143da","29","2020","73","6","44.1","209","79.8","1","12","36.8","13","33","54.5","1545","1.04","0","0","19","32.8","0","0","1","841"
"Danny da Costa","midfielder","Mainz 05","5ddb8f9f","27","2020","76","0","0","312","58.8","1","22","48.1","27","21","81","1208","1.81","2","0","5","65","0","1","0","729"
"Dante","defender","Nice","fd2bc67d","36","2020","76","2","28.6","628","90.2","1","10","42.9","20","1","100","774","1.89","2","0","6","75","1","0","0","1296"
